depth_nm,initial_concentration_cm3,final_concentration_cm3
441.25,7024518734436.57,4647585215474501.0
443.75,5511885195099.945,4216622657340963.0
446.25,4314177556472.8804,3821857785240941.0
448.75,3368295079833.7397,3460644276074492.0
451.25,2623230845790.0674,3130489831369807.0
453.75,2037873180263.7524,2829051051334252.0
456.25,1579181548138.7908,2554128087684184.0
458.75,1220678321324.5684,2303659127288260.5
461.25000000000006,941205955413.3407,2075714754743287.0
463.75,723906314609.1139,1868492238100492.5
466.25000000000006,555385231793.2036,1680309778104354.2
468.75,425030947662.0554,1509600757525036.5
471.25,324459909903.7752,1354908023484403.2
473.75,247067600224.30524,1214878232115322.2
476.25,187665661682.47314,1088256281473732.8
478.74999999999994,142189686171.8589,973879855357033.0
481.25000000000006,107464653011.38187,870674097583215.2
483.75,81017241034.60509,777646433361730.1
486.25,60926120103.652214,693881551646107.1
488.75,45702910561.23027,618536559803716.5
491.25000000000006,34197822905.269917,550836319571762.56
493.75000000000006,25525092407.072796,490068971090651.06
496.25,19004237570.051903,435581649814048.6
498.75,14113926208.2919,386776399286212.8
501.24999999999994,10455853700.459936,343106281146388.2
503.75000000000006,7726546402.485497,304071682261414.06
506.25,5695417956.593602,269216817594288.22
508.75,4187743247.0073905,238126426280432.12
511.25,3071487537.9664183,210422657396628.53
513.7500000000001,2247148286.8910494,185762141061193.44
516.25,1639943818.6058562,163833239788845.47
518.75,1193824458.286856,144353474430645.56
521.25,866894480.8200272,127067118549034.53
523.75,627922821.5430481,111742954701024.9
526.25,453691414.5409572,98172185819899.0
528.75,326985969.5114154,86166494688365.97
531.25,235077973.981006,75556244375377.38
533.75,168581154.56024152,66188812456340.96
536.25,120592520.49822694,57927051844378.02
538.75,86049031.13634433,50647871120990.836
541.25,61247146.665326096,44240927360946.26
543.75,43485052.71437933,38607424591714.266
546.2500000000001,30796999.403943356,33659011206252.934
548.75,21756602.251903344,29316769853612.723
551.25,15331618.47966366,25510293559538.08
553.75,10777032.65079364,22176842074200.95
556.25,7556569.091328181,19260572702128.203
558.75,5285235.948603897,16711840136415.115
561.25,3687383.99904051,14486560092014.527
563.75,2566177.052641889,12545631808222.348
566.25,1781431.5155039248,10854414765782.018
568.7500000000001,1233575.9937075942,9382255237009.71
571.25,852073.2883039269,8102058556018.865
573.75,587086.7194760714,6989903258844.379
576.25,403498.40801646694,6024693498641.819
578.75,276627.6954180153,5187846388049.933
581.25,189175.00561572777,4463011158360.888
583.75,129046.46615626224,3835817252662.844
586.25,87809.74999598229,3293648687113.928
588.75,59601.01131298136,2825442220646.405
591.25,40353.27443649632,2421507068509.078
593.75,27253.24351953991,2073364079081.1804
596.25,18359.966163902598,1773602466390.5588
598.75,12337.859489221928,1515752352894.7285
601.25,8270.314540796504,1294171528565.1653
603.75,5529.915539471344,1103944973446.859
606.25,3688.3254308332866,940795821994.3718
608.75,2453.885145615973,801006568999.3894
611.25,1628.521490693856,681349429242.3873
613.75,1078.0701475041235,579024866563.2388
616.25,711.8931438225409,491607403308.1432
618.75,468.91795694086255,416997908536.0634
621.25,308.1010523621647,353381643421.98267
623.7500000000001,201.93135668284282,299191415438.7136
626.25,132.01661966952014,253075259587.98492
628.75,86.09297537159432,213868125629.14233
631.25,56.004263471013026,180567105350.04892
633.75,36.34031827729136,152309783854.2272
636.25,23.521804011260585,128355343997.76332
638.75,15.18681809879629,108068093877.26196
641.25,9.780863975989325,90903124004.80048
643.75,6.283504217329735,76393833845.90157
646.2500000000001,4.026622041016261,64141097060.31519
648.75,2.573914318304947,53803861370.90261
651.25,1.6412002292136185,45091002771.25124
653.75,1.0438625474355605,37754275026.401794
656.25,0.6622764720377583,31582214362.889694
658.75,0.41913082396836115,26394876105.63452
661.25,0.2645904344990666,22039295003.992474
663.75,0.1666145565607791,18385574284.9132
666.25,0.10465645201143146,15323520249.203438
668.75,0.06557425077562783,12759749644.220903
671.25,0.040984055475706375,10615206245.784588
673.75,0.02555116979726037,8823031193.589857
676.25,0.015889890672116786,7326738765.765851
678.7500000000001,0.009857012198507539,6078655555.990716
681.25,0.006099355441266975,5038586527.017741
683.75,0.0037647561826485653,4172676244.231798
686.25,0.0023179498281577665,3452437819.8682475
688.75,0.0014235917795541923,2853925792.66784
691.25,0.0008721298986988591,2357032391.572995
693.75,0.0005329557388776469,1944889441.48384
696.25,0.00032487431329642527,1603360613.9207175
698.75,0.0001975394634292247,1320610850.0362728
701.2500000000001,0.00011981374107300473,1086741627.1788807
703.75,7.248925755394203e-05,893482338.062656
706.25,4.374767109237029e-05,733929434.4618311
708.75,2.6336040945077244e-05,602326182.5328312
711.25,1.581467615093784e-05,493876908.46424174
713.75,9.472931153507585e-06,404590502.3709287
716.25,5.6600819969984856e-06,331148713.8245434
718.75,3.3734581625409542e-06,270795430.50425094
721.25,2.0055901953483533e-06,221243696.48728207
723.7500000000001,1.1893873935234294e-06,180597711.2102531
726.25,7.035884929490447e-07,147287465.06115732
728.75,4.151723180203761e-07,120014022.44842207
731.25,2.443724896596791e-07,97703766.34083274
733.75,1.4347971383378983e-07,79470176.89735307
736.25,8.403166215121293e-08,64581937.17124153
738.75,4.909188068003803e-08,52436346.40457051
741.25,2.8608207672044414e-08,42537180.82178387
743.75,1.662975662155914e-08,34476277.13971996
746.25,9.642627735952179e-09,27918228.73494564
748.75,5.577237924284495e-09,22587681.560567282
751.25,3.2177863628628306e-09,18258799.07575772
753.75,1.851865775553594e-09,14746534.868168414
756.2500000000001,1.0631047732043361e-09,11899410.221498985
758.75,6.087751192354683e-10,9593543.24306357
761.25,3.4773786595293924e-10,7727717.717893026
763.75,1.981350635285702e-10,6219314.79136683
766.25,1.126120737849146e-10,5000959.920544847
768.75,6.384440409270353e-11,4017762.1432123706
771.25,3.6105634633036933e-11,3225043.331490404
773.75,2.036767198336597e-11,2586472.350916207
776.25,1.1460988191303183e-11,2072533.4682965945
778.7500000000001,6.433051108765389e-12,1659270.393241456
781.25,3.6018548078294963e-12,1327257.380603136
783.75,2.011637238804187e-12,1060757.1864809752
786.25,1.120694897577491e-12,847032.631101417
788.75,6.22786781956961e-13,675784.3071091471
791.25,3.4522770581074253e-13,538691.7746841466
793.75,1.9089131146575552e-13,429039.5677687368
796.25,1.0528850155392731e-13,341412.6348640068
798.75,5.792819441088041e-14,271448.56765948323
801.2500000000001,3.179166715060694e-14,215636.22695382455
803.75,1.740407224938102e-14,171152.23801999868
806.25,9.503918774776645e-15,135728.36370467144
808.75,5.176888583042326e-15,107544.02899225551
811.2500000000001,2.812866910697865e-15,85139.31207350195
813.75,1.524557518507373e-15,67344.57290279759
816.25,8.24238141756392e-16,53223.593042627064
818.75,4.445041961829092e-16,42027.677050489496
821.25,2.391185598240869e-16,33158.63797199842
823.75,1.2831131957684603e-16,26138.97606581084
826.25,6.868010021185928e-17,20587.87593064306
828.75,3.6670018813829364e-17,16201.905320880818
831.25,1.953015136301455e-17,12739.509519400677
833.7500000000001,1.0375626970068645e-17,10008.56675638629
836.25,5.4984129449843896e-18,7856.40988255791
838.75,2.906528736654219e-18,6161.833134531658
841.25,1.5325905831011599e-18,4828.695144217677
843.75,8.061056184023633e-19,3780.8042634106855
846.25,4.229334229573747e-19,2957.8330135614765
848.75,2.213432743702304e-19,2312.0576621216587
851.25,1.155513215994346e-19,1805.7587250142503
853.75,6.01724600941683e-20,1409.1503602052326
856.2500000000001,3.125610678225114e-20,1098.7325871978815
858.75,1.619519792839792e-20,855.9812134467536
861.25,8.370509661649577e-21,666.3072257437536
863.75,4.315506824733345e-21,518.2309892193472
866.2500000000001,2.2193509185975862e-21,402.72751994833084
868.75,1.13850360631987e-21,312.70787171129746
871.25,5.825820611947976e-22,242.60871883112927
873.75,2.9736788820789237e-22,188.06786184656858
876.25,1.514067695635589e-22,145.66790354118336
878.7500000000001,7.689724522938967e-23,112.73395974237238
881.25,3.8957451099311766e-23,87.17416017126966
883.75,1.9687227064616335e-23,67.35400290257219
886.25,9.924138810694285e-24,51.997467264349375
888.7500000000001,4.990170378183851e-24,40.109257304692896
891.25,2.5029500422593685e-24,30.913716079083773
893.75,1.2522852135767269e-24,23.806880054100365
896.25,6.2498355168576625e-25,18.318881090118364
898.75,3.1113451167208435e-25,14.084489400673498
901.25,1.5450482599866904e-25,10.82005553073046
903.75,7.653325345630119e-26,8.305477499655305
906.25,3.781573674847643e-26,6.370110593291846
908.75,1.8638425412058137e-26,4.881767649021498
911.2500000000001,9.16347370364731e-27,3.73813964579073
913.75,4.49391982022408e-27,2.8601100151564203
916.25,2.1983901270988325e-27,2.186549308986051
918.75,1.0727498789914806e-27,1.670266038095512
921.25,5.22163423679883e-28,1.274859671644787
923.75,2.5352960749655175e-28,0.9722769563871897
926.25,1.2279061786818862e-28,0.740916045650196
928.75,5.932202247867641e-29,0.5641569283703833
931.25,2.8587815942807537e-29,0.42922330251175483
933.7500000000001,1.3742326712520588e-29,0.32630191243002105
936.25,6.58952067767023e-30,0.24786170372936978
938.75,3.1518217250024737e-30,0.18812791783574762
941.25,1.503778004240156e-30,0.14267622077397923
943.7500000000001,7.156819683853874e-31,0.10811974165767198
946.25,3.3975877824105385e-31,0.08186796202615176
948.75,1.6089241149992017e-31,0.061941121181613656
951.25,7.600019378240717e-32,0.046827478428055035
953.75,3.5810311764694016e-32,0.03537363056604723
956.25,1.6831226646216365e-32,0.026700302278698
958.7499999999999,7.891102745534818e-33,0.020137749098142872
961.2500000000001,3.690403826172071e-33,0.01517624764796336
963.7500000000001,1.721568665557606e-33,0.011428181862180713
966.2500000000001,8.01104314586112e-34,0.008599034021988344
968.75,3.718502312477868e-34,0.006465208058268982
971.25,1.7217151652228061e-34,0.0048570903932720665
973.75,7.951861689565167e-35,0.0036461223435057745
976.25,3.663452746363528e-35,0.0027349424207929324
978.75,1.683552385309295e-35,0.002049875885290752
981.2499999999999,7.717505337730169e-36,0.0015352174684055456
983.7500000000001,3.528917508262008e-36,0.0011488828009768265
986.2500000000001,1.6096088014945707e-36,0.0008591036623796707
988.7500000000001,7.323411431968628e-37,0.0006419186017951805
991.25,3.3236921621103404e-37,0.0004792691009646692
993.75,1.504673997872713e-37,0.00035755636173008586
996.25,6.794825421152822e-38,0.00026654818491866363
998.75,3.060754196443987e-38,0.00019855170548121258
1001.2499999999999,1.3752855125056395e-38,0.00014778784560293931
1003.7499999999999,6.164126551658684e-39,0.00010991869168483431
1006.2500000000001,2.755906559030381e-39,8.169070629924225e-05
1008.7500000000001,1.2290560651025901e-39,6.06656076471106e-05
1011.2500000000001,5.467555044011297e-40,4.5017542799922115e-05
1013.75,2.426212843500254e-40,3.338035001679542e-05
1016.25,1.0739372210824257e-40,2.473263483211466e-05
1018.75,4.74179916329581e-41,1.8311369095777574e-05
1021.25,2.0884384508254917e-41,1.3546986983533324e-05
1023.7499999999999,9.175177382516014e-42,1.0014669225474956e-05
1026.2500000000002,4.0208837910914085e-42,7.3978077083062695e-06
1028.75,1.757692249898142e-42,5.460627277585441e-06
1031.25,7.664404511409695e-43,4.027686234750182e-06
1033.75,3.3337134072204877e-43,2.9685397063990943e-06
1036.25,1.446413175803987e-43,2.186274871889979e-06
1038.75,6.259948216705884e-44,1.6089474800482483e-06
1041.25,2.7024855212730983e-44,1.1831906006788388e-06
1043.75,1.1637783532253321e-44,8.694484288494181e-07
1046.25,4.999095549543188e-45,6.384248026277543e-07
1048.7500000000002,2.1420364870413258e-45,4.684389700648533e-07
1051.25,9.155383793404889e-46,3.434584151822696e-07
1053.75,3.903377090072668e-46,2.5163654780808867e-07
1056.25,1.6600406648635153e-46,1.8422655167569818e-07
1058.75,7.042246271745632e-47,1.3477527005160777e-07
1061.25,2.980011596546244e-47,9.852540221087098e-08
1063.75,1.257879280174571e-47,7.197253103830111e-08
1066.25,5.296320239352655e-48,5.253713958010429e-08
1068.75,2.2244557633617847e-48,3.832195845412971e-08
1071.2500000000002,9.319391882932019e-49,2.7932584887035993e-08
1073.75,3.894624924238265e-49,2.0344979363380586e-08
1076.25,1.6235212118082204e-49,1.4807666012896335e-08
1078.75,6.750944837065708e-50,1.0769603954003887e-08
1081.25,2.800176556120025e-50,7.82703284063234e-09
1083.75,1.1585653482635857e-50,5.684331743039202e-09
1086.25,4.781563398983644e-51,4.125219361557579e-09
1088.75,1.9684915995284205e-51,2.9915797590579925e-09
1091.25,8.083723995910001e-52,2.1679065986095648e-09
1093.7500000000002,3.311339058373228e-52,1.569883865683685e-09
1096.25,1.3530383009275194e-52,1.1360095902994726e-09
1098.75,5.514813029376512e-53,8.214563997789728e-10
1101.25,2.2421556568865547e-53,5.935750260880735e-10
1103.75,9.093163277035482e-54,4.2860362634298265e-10
1106.25,3.6785654136416823e-54,3.0926139832866333e-10
1108.75,1.484418098987257e-54,2.2299020005194152e-10
1111.25,5.975142434363158e-55,1.6067065410387662e-10
1113.75,2.399134232754615e-55,1.1568541361364463e-10
1116.25,9.608931484417892e-56,8.323623688093146e-11
1118.75,3.8389274930922233e-56,5.984647808526898e-11
1121.25,1.5298857033401531e-56,4.299892701452924e-11
1123.75,6.081662656954415e-57,3.087237451647556e-11
1126.25,2.411570323697498e-57,2.2150135057877022e-11
1128.75,9.538757299827368e-58,1.5880975875168748e-11
1131.25,3.763552084981058e-58,1.1378184980060473e-11
1133.75,1.4812157672289555e-58,8.146373616477959e-12
1136.25,5.815043740165432e-59,5.8284318413784704e-12
1138.75,2.2772038480202865e-59,4.167117217987473e-12
1141.25,8.895392098222361e-60,2.977260544154771e-12
1143.75,3.466111640262401e-60,2.1256689562985175e-12
1146.25,1.347206785034809e-60,1.5166054555818733e-12
